"Timestamp","What is your age?","How many years of experience are you playing electronic games?","Which state do you live in?","Did the game have clear and understandable goals?","Did you find an unexpected bug or behavior during gameplay?","Did the general structure of the level seemed playable and consistent with the game proposal?","Did you feel you managed to complete the challenges with the skills provided?","The difficult game of the game adjusts to your play style?","Did you feel the level of difficulty has progressed during the levels?","Did the stages generated offered challenges compatible with your experience as a player?","Did the game encourage you to change your strategy throughout the match?","Have the elements of the game (map, enemies, obstacles) change noticeable with each new attempt?","The variation between the phases motivated you to continue playing?","Did any level generated seemed repetitive or predictable?","How fun was it playing this game?","Comment something you liked or did not like about the procedural generation of the game (where the rooms, Dungeon map and enemies were generated).",
"2025/06/30 6:38:24 PM GMT-3","23","4 or more","Paraná","4","3","5","5","3","5","4","4","4","5","3","4","Some rooms are repeated.", "4"
"2025/07/01 3:35:52 PM GMT-3","29","4 or more","paraná","5","5","3","3","1","3","2","1","2","1","5","2","Maps that generate more than three rooms offer no reward. Before the player chooses the next room, he should know where he goes, just like in the game Hades, where the symbol at the door indicates the destination. The premise is good, but some monsters are considered dead simply because they stop walking.",""
"2025/07/01 4:09:51 PM GMT-3","26","4 or more","PR","2","5","2","5","3","3","2","1","2","1","5","2","",""
"2025/07/01 4:09:56 PM GMT-3","30","3 years","Paraná","5","1","5","5","5","5","5","4","5","5","1","5","",""
"2025/07/01 4:13:01 PM GMT-3","40","nenhuma experiência","Parana","3","2","3","4","3","4","3","2","3","3","4","4","It was missing to generate the score in each expired stage ..", ""
"2025/07/01 4:17:20 PM GMT-3","30","4 or more","PR","5","5","5","5","5","5","5","1","3","1","1","2","",""
"2025/07/01 4:21:22 PM GMT-3","34","4 or more","Bragança - Portugal","5","5","4","5","5","5","5","1","5","1","5","3","It was clearly noticeable the difficulty adjustment after each time the character died",""
"2025/07/01 5:00:39 PM GMT-3","28","4 or more","Rondônia","5","1","3","3","5","4","4","2","5","3","2","4","",""
"2025/07/01 6:57:05 PM GMT-3","20","4 or more","RS","5","2","5","5","5","5","4","2","5","4","2","4","",""
"2025/07/01 10:59:57 PM GMT-3","35","4 or more","parana","4","2","5","4","3","4","5","4","5","5","4","4","I just understood that if I kept playing would appear new phases (after I died) after I came to answer the form and then I came back to play a little more, I think it was missing information or progress of the game.",""
"2025/07/02 8:42:13 PM GMT-3","37","4 or more","Paraná","5","3","5","4","5","4","4","5","5","5","2","5","The doors that led to rooms that had to defeat the enemies and return to the previous room were a nice touch, the fastest enemies shook the game, the scenarios with different obstacles, and the enemies with different attacks led to bump strategy to attack and defend themselves.",""
"2025/07/03 3:35:39 PM GMT-3","18","4 or more","Paraná","5","1","5","5","5","5","5","5","5","5","5","5","",""
"2025/07/03 8:15:25 PM GMT-3","17","4 or more","Paraná","5","5","5","5","3","4","3","5","3","3","5","4","",""
"2025/07/03 10:28:21 PM GMT-3","19","4 or more","Paraná","5","3","4","4","2","3","2","2","3","3","4","4","",""
"2025/07/03 10:50:14 PM GMT-3","31","4 or more","São Paulo","5","1","5","3","2","5","4","4","4","2","4","1","",""
"2025/07/04 2:10:26 PM GMT-3","19","4 or more","Paraná","5","4","5","5","5","4","4","3","4","5","4","4","",""


